day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Fri,2.338918446378463,48.9598375889701,,893.3999458483879,1088.7081026878034,0.11934156378600823,0.020100502512562814,325.4901950595137,0.33440514469453375,0.15112540192926044,21
Mon,5.231610554679795,31.823286428969222,40.96407927975088,704.402141309971,1037.3162609087624,0.11450381679389313,0.06334841628959276,155.62022631085958,0.12574850299401197,0.011976047904191617,21
Sat,1.387416575010092,21.069871998551797,,917.9236698602313,1233.5844761476058,0.09359605911330049,0.024691358024691357,397.94400475034456,0.29277566539923955,0.1634980988593156,21
Sun,4.651825369722507,12.557095740304574,,837.1854509604485,1085.6830853495717,0.11914893617021277,0.08121827411167512,244.40835597872874,0.1895424836601307,0.0784313725490196,21
Thu,4.56479088380939,66.71073738486473,,813.4293045580521,1022.996013904327,0.07142857142857142,0.01818181818181818,301.89622619760524,0.33045977011494254,0.14655172413793102,21
Tue,2.6126097039771046,36.867639354551265,,334.5777806427357,643.7566328501348,0.12267657992565056,0.0319634703196347,267.4073122570966,0.27113702623906705,0.11661807580174927,21
Wed,3.1451082861492687,35.37368324106478,,677.9719172230492,865.9002762708657,0.08812260536398467,0.01834862385321101,267.01034115265946,0.28012048192771083,0.12650602409638553,21
Fri,3.894759337094131,53.02123824251737,111.91457573228035,1470.2017965389825,1660.5835017573488,0.07894736842105263,0.018018018018018018,435.7045689174206,0.3226744186046512,0.13953488372093023,22
Mon,3.08652224351766,20.54918648002898,,,,0.1076388888888889,0.06896551724137931,107.03729966865194,0.04419889502762431,0.0,22
Sat,2.2406593278659845,44.840449415928894,,1555.1000089404586,1800.9926338632438,0.12554112554112554,0.020100502512562814,310.26269049865783,0.25666666666666665,0.06666666666666667,22
Sun,1.0432670359826528,14.103784643299285,,1388.6010950446782,1599.1831711186655,0.07216494845360824,0.0457516339869281,215.7301176161316,0.12048192771084337,0.05622489959839357,22
Thu,3.109534312614049,43.25853696347893,121.20540876001633,1070.046943440498,1282.711222858259,0.08943089430894309,0.020618556701030927,452.983869119107,0.35202492211838005,0.17133956386292834,22
Tue,16.109488020223118,92.28235821295615,86.18718936943787,575.4459543033762,814.9356526227994,0.08,0.024,378.3788780092633,0.37329700272479566,0.11171662125340599,22
